model,segment,mean_prob,median_prob,n_pixels,rank
Random forest,MTP-QLR,0.08170442283153534,0.07042242586612701,102947,8.0
Random forest,QLR-ADY,0.3107498288154602,0.15468797087669373,42503,2.0
Random forest,ADY-HLG,0.39664533734321594,0.3654237687587738,57345,1.0
Random forest,HLG-RME,0.3074679672718048,0.2344387173652649,55250,3.0
Random forest,RME-ONR,0.13877171277999878,0.0828864574432373,44117,5.0
Random forest,ONR-WEL,0.08710866421461105,0.0752975270152092,13341,7.0
Random forest,WEL-AVK,0.07611719518899918,0.06274447590112686,32535,11.0
Random forest,AVK-KXT,0.09014701843261719,0.06748293340206146,63876,6.0
Random forest,KXT-LOV,0.1398322731256485,0.08623746782541275,51325,4.0
Random forest,LOV-FNHL,0.08146032691001892,0.06834226101636887,28317,9.0
Random forest,FNHL-UAM,0.07850131392478943,0.07271894812583923,28272,10.0
Binary logistic regression,MTP-QLR,0.09425660222768784,0.045245133340358734,102947,8.0
Binary logistic regression,QLR-ADY,0.5013052821159363,0.5358197093009949,42503,3.0
Binary logistic regression,ADY-HLG,0.617294192314148,0.6775022149085999,57345,1.0
Binary logistic regression,HLG-RME,0.5259963870048523,0.5388121008872986,55250,2.0
Binary logistic regression,RME-ONR,0.22050334513187408,0.14642572402954102,44117,4.0
Binary logistic regression,ONR-WEL,0.09211321175098419,0.05966251343488693,13341,9.0
Binary logistic regression,WEL-AVK,0.09739818423986435,0.05773426219820976,32535,7.0
Binary logistic regression,AVK-KXT,0.10663960129022598,0.05931650102138519,63876,6.0
Binary logistic regression,KXT-LOV,0.17671337723731995,0.08289750665426254,51325,5.0
Binary logistic regression,LOV-FNHL,0.07365066558122635,0.03599626198410988,28317,10.0
Binary logistic regression,FNHL-UAM,0.041795745491981506,0.023080553859472275,28272,11.0
XGBoost,MTP-QLR,0.043477535247802734,0.009531178511679173,94203,7.0
XGBoost,QLR-ADY,0.22615985572338104,0.030794981867074966,39750,2.0
XGBoost,ADY-HLG,0.23692306876182556,0.059463225305080414,53580,1.0
XGBoost,HLG-RME,0.18606680631637573,0.044305142015218735,51520,3.0
XGBoost,RME-ONR,0.08061647415161133,0.025362994521856308,41302,4.0
XGBoost,ONR-WEL,0.07821369171142578,0.03326483815908432,12854,5.0
XGBoost,WEL-AVK,0.04015539214015007,0.017016399651765823,30060,10.0
XGBoost,AVK-KXT,0.041537217795848846,0.013362237252295017,59205,9.0
XGBoost,KXT-LOV,0.04336107522249222,0.015642400830984116,47737,8.0
XGBoost,LOV-FNHL,0.015609979629516602,0.006336566060781479,26580,11.0
XGBoost,FNHL-UAM,0.05141285061836243,0.023644665256142616,25399,6.0
Support vector machine,MTP-QLR,0.2059621661901474,0.18527944386005402,102947,11.0
Support vector machine,QLR-ADY,0.32236433029174805,0.3540274202823639,42503,5.0
Support vector machine,ADY-HLG,0.3466138243675232,0.3540274202823639,57345,2.0
Support vector machine,HLG-RME,0.3527507781982422,0.3540274202823639,55250,1.0
Support vector machine,RME-ONR,0.3403041660785675,0.3540274202823639,44117,3.0
Support vector machine,ONR-WEL,0.31905597448349,0.35402587056159973,13341,6.0
Support vector machine,WEL-AVK,0.3113349378108978,0.35402604937553406,32535,9.0
Support vector machine,AVK-KXT,0.31372493505477905,0.3540274202823639,63876,7.0
Support vector machine,KXT-LOV,0.326478511095047,0.3540274202823639,51325,4.0
Support vector machine,LOV-FNHL,0.3117629885673523,0.3526500165462494,28317,8.0
Support vector machine,FNHL-UAM,0.3019271492958069,0.3467525243759155,28272,10.0
